text
"王雅萍老師的以社區為本的文化資源管理：台灣與泰國的經驗對話課程difficult分數為98.7,busy分數為90.16,low分數為5.48,high分數為9.68,easy分數為0.05,interesting分數為89.62,clear分數為17.5,implicit分數為9.72,heavy分數為85.56,boring分數為0.03,thoughtful分數為94.55,sweet分數為85.01,hard分數為98.01,cold分數為0.02."
"王雅萍、官大偉、高雅寧、張中復、張駿逸老師的傳承與創新１：民族學田野調查理論與實務課程difficult分數為90.44,busy分數為82.9,low分數為59.38,high分數為28.56,easy分數為1.59,interesting分數為98.22,clear分數為43.01,implicit分數為43.58,heavy分數為12.61,boring分數為1.35,thoughtful分數為32.36,sweet分數為7.26,hard分數為87.48,cold分數為20.03."
"官大偉、陳乃華老師的民族政策課程difficult分數為99.59,busy分數為94.15,low分數為73.99,high分數為46.14,easy分數為1.57,interesting分數為96.51,clear分數為52.04,implicit分數為62.98,heavy分數為90.81,boring分數為0.48,thoughtful分數為89.3,sweet分數為28.72,hard分數為99.51,cold分數為39.58."
"官大偉、陳怡萱老師的民族地理課程difficult分數為86.61,busy分數為96.16,low分數為41.5,high分數為16.89,easy分數為1.53,interesting分數為89.67,clear分數為25.36,implicit分數為59.36,heavy分數為65.38,boring分數為0.99,thoughtful分數為51.37,sweet分數為2.65,hard分數為85.2,cold分數為7.85."
"藍美華老師的以學生為核心的民族課程設計行動課程difficult分數為80.62,busy分數為39.59,low分數為3.82,high分數為40.77,easy分數為0.33,interesting分數為98.36,clear分數為1.68,implicit分數為42.86,heavy分數為4.52,boring分數為0.01,thoughtful分數為83.02,sweet分數為71.09,hard分數為53.0,cold分數為0.08."
"張駿逸、陳乃華老師的博物館展覽設計與製作課程difficult分數為69.72,busy分數為55.18,low分數為44.59,high分數為89.7,easy分數為2.52,interesting分數為99.45,clear分數為87.8,implicit分數為79.66,heavy分數為10.35,boring分數為0.18,thoughtful分數為99.41,sweet分數為98.77,hard分數為53.63,cold分數為2.97."
"張駿逸、陳乃華老師的博物館管理與經營課程difficult分數為61.58,busy分數為0.7,low分數為0.56,high分數為81.42,easy分數為1.85,interesting分數為98.63,clear分數為93.46,implicit分數為30.2,heavy分數為6.26,boring分數為0.0,thoughtful分數為99.35,sweet分數為98.66,hard分數為51.46,cold分數為0.03."
"陳乃華老師的博物館學課程difficult分數為96.24,busy分數為76.03,low分數為51.46,high分數為73.74,easy分數為11.48,interesting分數為97.25,clear分數為69.31,implicit分數為83.66,heavy分數為44.79,boring分數為0.49,thoughtful分數為93.64,sweet分數為82.39,hard分數為93.72,cold分數為9.58."
"陳怡萱老師的台灣民族誌課程difficult分數為75.18,busy分數為98.74,low分數為60.74,high分數為70.98,easy分數為7.63,interesting分數為92.99,clear分數為90.25,implicit分數為71.77,heavy分數為86.38,boring分數為0.34,thoughtful分數為78.28,sweet分數為67.81,hard分數為73.57,cold分數為0.96."
"吳考甯老師的民族宗教課程difficult分數為99.67,busy分數為99.36,low分數為72.88,high分數為74.91,easy分數為16.54,interesting分數為97.63,clear分數為98.64,implicit分數為91.39,heavy分數為99.65,boring分數為2.66,thoughtful分數為95.62,sweet分數為85.53,hard分數為99.73,cold分數為49.85."
"林超琦老師的比較政治課程difficult分數為78.1,busy分數為58.37,low分數為7.5,high分數為76.67,easy分數為6.8,interesting分數為99.28,clear分數為95.89,implicit分數為27.64,heavy分數為49.25,boring分數為0.02,thoughtful分數為98.54,sweet分數為88.53,hard分數為74.99,cold分數為3.26."
"王國樑老師的管理經濟學課程difficult分數為5.03,busy分數為0.09,low分數為69.89,high分數為42.28,easy分數為25.78,interesting分數為87.96,clear分數為93.19,implicit分數為56.84,heavy分數為0.45,boring分數為0.18,thoughtful分數為99.75,sweet分數為98.16,hard分數為8.75,cold分數為0.19."
"林良榮老師的勞動法案例研究課程difficult分數為99.45,busy分數為99.47,low分數為80.15,high分數為33.47,easy分數為0.43,interesting分數為98.14,clear分數為89.79,implicit分數為58.46,heavy分數為79.75,boring分數為0.26,thoughtful分數為60.24,sweet分數為2.59,hard分數為99.09,cold分數為36.19."
"林良榮老師的集體勞動法課程difficult分數為92.55,busy分數為90.36,low分數為48.37,high分數為68.23,easy分數為1.87,interesting分數為96.37,clear分數為69.86,implicit分數為53.3,heavy分數為65.72,boring分數為0.6,thoughtful分數為89.24,sweet分數為51.84,hard分數為91.12,cold分數為20.64."
"林良榮老師的日本法導論課程difficult分數為72.63,busy分數為53.1,low分數為18.12,high分數為10.83,easy分數為1.66,interesting分數為67.05,clear分數為15.24,implicit分數為21.19,heavy分數為95.13,boring分數為6.57,thoughtful分數為55.11,sweet分數為22.8,hard分數為61.46,cold分數為7.71."
"林良榮老師的勞動市場法制與政策課程difficult分數為99.86,busy分數為99.24,low分數為2.06,high分數為54.86,easy分數為0.02,interesting分數為98.34,clear分數為1.19,implicit分數為9.63,heavy分數為63.78,boring分數為0.01,thoughtful分數為87.33,sweet分數為3.17,hard分數為99.79,cold分數為24.35."
"林信助老師的總體經濟學課程difficult分數為99.85,busy分數為98.85,low分數為97.99,high分數為74.82,easy分數為38.63,interesting分數為98.85,clear分數為89.93,implicit分數為93.29,heavy分數為99.05,boring分數為94.18,thoughtful分數為98.12,sweet分數為97.12,hard分數為99.87,cold分數為81.87."
"鄭士卿老師的風險管理課程difficult分數為35.32,busy分數為38.66,low分數為27.98,high分數為53.39,easy分數為9.19,interesting分數為77.71,clear分數為59.39,implicit分數為70.48,heavy分數為23.64,boring分數為5.62,thoughtful分數為83.68,sweet分數為58.56,hard分數為29.32,cold分數為23.19."
"尚孝純老師的資訊管理課程difficult分數為87.48,busy分數為80.96,low分數為15.62,high分數為84.99,easy分數為6.83,interesting分數為98.15,clear分數為93.79,implicit分數為50.48,heavy分數為92.56,boring分數為0.53,thoughtful分數為97.01,sweet分數為90.76,hard分數為85.25,cold分數為13.95."
"溫偉任老師的管理經濟學課程difficult分數為89.32,busy分數為45.25,low分數為10.7,high分數為5.66,easy分數為1.46,interesting分數為71.2,clear分數為0.69,implicit分數為54.99,heavy分數為15.97,boring分數為0.06,thoughtful分數為1.82,sweet分數為5.1,hard分數為81.81,cold分數為4.11."
"張興華老師的貨幣銀行學課程difficult分數為51.74,busy分數為81.05,low分數為82.87,high分數為91.55,easy分數為94.37,interesting分數為93.7,clear分數為95.41,implicit分數為93.42,heavy分數為65.19,boring分數為43.86,thoughtful分數為94.74,sweet分數為92.8,hard分數為38.82,cold分數為86.0."
"黃台心老師的個體經濟學課程difficult分數為97.35,busy分數為71.14,low分數為57.57,high分數為22.72,easy分數為1.8,interesting分數為93.92,clear分數為11.43,implicit分數為57.5,heavy分數為45.82,boring分數為9.33,thoughtful分數為85.33,sweet分數為8.71,hard分數為95.58,cold分數為35.69."
"溫偉任老師的個體經濟學課程difficult分數為68.93,busy分數為59.23,low分數為53.67,high分數為62.72,easy分數為9.93,interesting分數為69.85,clear分數為41.26,implicit分數為79.41,heavy分數為53.43,boring分數為15.53,thoughtful分數為63.25,sweet分數為31.37,hard分數為62.86,cold分數為51.27."
"胡昌亞老師的組織行為課程difficult分數為93.82,busy分數為99.01,low分數為87.88,high分數為98.37,easy分數為99.06,interesting分數為99.56,clear分數為99.55,implicit分數為98.81,heavy分數為98.4,boring分數為86.6,thoughtful分數為99.46,sweet分數為99.12,hard分數為96.03,cold分數為91.94."
"荒井夏來老師的總體經濟學課程difficult分數為94.4,busy分數為95.13,low分數為79.38,high分數為94.78,easy分數為76.79,interesting分數為97.48,clear分數為97.25,implicit分數為96.53,heavy分數為95.41,boring分數為55.37,thoughtful分數為98.1,sweet分數為96.08,hard分數為94.52,cold分數為85.82."
"彭朱如老師的策略管理課程difficult分數為96.83,busy分數為96.58,low分數為87.62,high分數為92.4,easy分數為36.79,interesting分數為96.73,clear分數為91.81,implicit分數為93.34,heavy分數為97.6,boring分數為75.6,thoughtful分數為97.67,sweet分數為88.31,hard分數為96.46,cold分數為89.87."
"周彥君、莊皓鈞老師的商業分析：行銷與決策課程difficult分數為98.3,busy分數為91.19,low分數為72.57,high分數為90.78,easy分數為33.84,interesting分數為99.73,clear分數為97.88,implicit分數為92.79,heavy分數為79.07,boring分數為10.54,thoughtful分數為97.23,sweet分數為93.94,hard分數為97.56,cold分數為57.91."
"蘇威傑老師的國際商業競賽訓練課程difficult分數為14.95,busy分數為17.78,low分數為0.03,high分數為94.02,easy分數為68.62,interesting分數為97.58,clear分數為96.01,implicit分數為41.33,heavy分數為4.17,boring分數為0.03,thoughtful分數為76.24,sweet分數為70.58,hard分數為46.76,cold分數為0.36."
"陳彩稚老師的人壽保險課程difficult分數為71.58,busy分數為43.49,low分數為59.05,high分數為55.55,easy分數為12.04,interesting分數為38.83,clear分數為40.93,implicit分數為82.91,heavy分數為64.69,boring分數為27.15,thoughtful分數為63.73,sweet分數為27.26,hard分數為68.21,cold分數為65.37."
"鄭至甫老師的創新創業移地實作（二）課程difficult分數為88.78,busy分數為86.92,low分數為17.69,high分數為97.05,easy分數為23.87,interesting分數為99.8,clear分數為99.59,implicit分數為85.81,heavy分數為52.31,boring分數為0.08,thoughtful分數為99.53,sweet分數為99.25,hard分數為87.98,cold分數為17.29."
"尚孝純、彭志宏老師的資訊管理課程difficult分數為98.09,busy分數為95.69,low分數為90.87,high分數為31.71,easy分數為1.16,interesting分數為88.87,clear分數為40.79,implicit分數為84.72,heavy分數為82.68,boring分數為6.07,thoughtful分數為28.9,sweet分數為73.92,hard分數為96.07,cold分數為47.54."
"陳立民老師的管理科學課程difficult分數為76.88,busy分數為71.99,low分數為54.66,high分數為67.93,easy分數為28.45,interesting分數為80.62,clear分數為68.81,implicit分數為77.74,heavy分數為71.16,boring分數為17.3,thoughtful分數為86.03,sweet分數為72.09,hard分數為76.67,cold分數為55.23."
"王正偉老師的服務學習專業課程－指南服務團－社會服務與學習（二）課程difficult分數為75.13,busy分數為39.44,low分數為9.27,high分數為53.12,easy分數為2.66,interesting分數為81.46,clear分數為4.38,implicit分數為57.78,heavy分數為10.02,boring分數為0.14,thoughtful分數為91.64,sweet分數為62.7,hard分數為52.82,cold分數為0.04."
"周玲臺老師的當代財會與金融國際個案研討課程difficult分數為85.02,busy分數為75.92,low分數為51.83,high分數為75.33,easy分數為1.46,interesting分數為97.51,clear分數為82.9,implicit分數為53.44,heavy分數為31.72,boring分數為0.04,thoughtful分數為95.5,sweet分數為91.5,hard分數為76.44,cold分數為2.41."
"王正偉老師的服務學習專業課程－指南服務團－社會服務與學習（一）課程difficult分數為77.53,busy分數為84.74,low分數為15.43,high分數為51.67,easy分數為4.55,interesting分數為68.38,clear分數為20.57,implicit分數為52.1,heavy分數為12.55,boring分數為2.6,thoughtful分數為69.77,sweet分數為67.16,hard分數為66.42,cold分數為2.4."
"李佳玲老師的創新創業實作專題課程difficult分數為54.71,busy分數為61.6,low分數為5.3,high分數為30.67,easy分數為1.66,interesting分數為98.33,clear分數為2.87,implicit分數為44.58,heavy分數為30.1,boring分數為0.29,thoughtful分數為96.6,sweet分數為31.79,hard分數為58.77,cold分數為12.8."
"李佳玲老師的平台創新與我課程difficult分數為56.08,busy分數為41.8,low分數為8.27,high分數為65.01,easy分數為2.45,interesting分數為95.27,clear分數為79.03,implicit分數為16.88,heavy分數為29.6,boring分數為0.02,thoughtful分數為97.86,sweet分數為22.54,hard分數為46.85,cold分數為5.06."
"傅浚映、蘇威傑老師的國際商業競賽訓練課程difficult分數為81.27,busy分數為33.62,low分數為2.53,high分數為58.77,easy分數為0.71,interesting分數為99.79,clear分數為57.59,implicit分數為6.92,heavy分數為12.25,boring分數為0.02,thoughtful分數為95.56,sweet分數為74.73,hard分數為69.91,cold分數為0.16."
"吳漢銘老師的迴歸分析（一）課程difficult分數為55.62,busy分數為63.21,low分數為47.7,high分數為83.15,easy分數為26.9,interesting分數為88.85,clear分數為89.92,implicit分數為76.08,heavy分數為54.05,boring分數為7.86,thoughtful分數為90.78,sweet分數為64.69,hard分數為51.35,cold分數為31.32."
"李佳玲老師的阿里巴巴創業與電商實戰入門課程difficult分數為93.49,busy分數為79.2,low分數為69.98,high分數為38.87,easy分數為6.12,interesting分數為99.25,clear分數為20.62,implicit分數為55.61,heavy分數為66.27,boring分數為0.88,thoughtful分數為84.37,sweet分數為74.89,hard分數為90.04,cold分數為33.91."
"蘇威傑老師的數位跨國商業專案（一）課程difficult分數為98.36,busy分數為80.49,low分數為81.93,high分數為41.75,easy分數為3.07,interesting分數為95.48,clear分數為2.0,implicit分數為92.27,heavy分數為60.86,boring分數為5.92,thoughtful分數為80.95,sweet分數為60.05,hard分數為96.26,cold分數為60.49."
"蘇威傑老師的數位跨國商業專案（二）課程difficult分數為87.4,busy分數為92.41,low分數為47.69,high分數為78.24,easy分數為4.97,interesting分數為96.67,clear分數為86.63,implicit分數為69.69,heavy分數為49.61,boring分數為0.8,thoughtful分數為92.35,sweet分數為81.93,hard分數為84.12,cold分數為32.7."
"胡昌亞老師的商業分析：人力資源數據分析與自動化課程difficult分數為99.93,busy分數為99.47,low分數為1.08,high分數為70.37,easy分數為0.02,interesting分數為99.86,clear分數為83.19,implicit分數為0.52,heavy分數為89.0,boring分數為0.01,thoughtful分數為75.54,sweet分數為80.56,hard分數為99.92,cold分數為4.99."
"譚丹琪老師的國際企業管理課程difficult分數為95.22,busy分數為98.29,low分數為83.45,high分數為98.41,easy分數為91.15,interesting分數為99.3,clear分數為99.06,implicit分數為95.99,heavy分數為97.34,boring分數為49.57,thoughtful分數為98.92,sweet分數為98.51,hard分數為94.79,cold分數為85.94."
"陳建維老師的國際行銷管理課程difficult分數為62.96,busy分數為78.72,low分數為64.7,high分數為61.05,easy分數為54.3,interesting分數為53.83,clear分數為39.83,implicit分數為83.05,heavy分數為62.02,boring分數為48.98,thoughtful分數為71.24,sweet分數為50.46,hard分數為58.9,cold分數為53.55."
"林信助老師的金融時間序列分析課程difficult分數為99.14,busy分數為93.4,low分數為59.06,high分數為90.47,easy分數為20.61,interesting分數為99.54,clear分數為99.54,implicit分數為78.89,heavy分數為83.33,boring分數為0.34,thoughtful分數為99.2,sweet分數為93.3,hard分數為98.73,cold分數為46.78."
"郭炳伸老師的國際金融課程difficult分數為93.29,busy分數為93.94,low分數為70.61,high分數為81.54,easy分數為48.46,interesting分數為93.04,clear分數為94.89,implicit分數為96.67,heavy分數為91.55,boring分數為34.66,thoughtful分數為97.16,sweet分數為78.61,hard分數為93.13,cold分數為72.38."
"譚丹琪老師的國際策略管理課程difficult分數為98.12,busy分數為14.04,low分數為10.58,high分數為4.04,easy分數為0.07,interesting分數為88.02,clear分數為3.62,implicit分數為33.42,heavy分數為84.25,boring分數為0.05,thoughtful分數為5.57,sweet分數為0.17,hard分數為97.42,cold分數為8.07."
"郭炳伸老師的國際金融專題課程difficult分數為55.07,busy分數為14.07,low分數為2.3,high分數為27.48,easy分數為2.34,interesting分數為98.59,clear分數為66.77,implicit分數為21.14,heavy分數為24.52,boring分數為0.02,thoughtful分數為93.88,sweet分數為40.75,hard分數為61.22,cold分數為0.3."
"古如君老師的商用英文課程difficult分數為94.34,busy分數為66.09,low分數為16.84,high分數為13.86,easy分數為0.3,interesting分數為99.44,clear分數為30.79,implicit分數為28.66,heavy分數為14.91,boring分數為0.32,thoughtful分數為92.55,sweet分數為94.22,hard分數為91.39,cold分數為17.67."
"陳建維、溫偉任老師的亞洲經濟問題研究（乙）課程difficult分數為89.7,busy分數為58.86,low分數為5.73,high分數為32.1,easy分數為1.33,interesting分數為92.85,clear分數為94.57,implicit分數為48.27,heavy分數為64.83,boring分數為0.06,thoughtful分數為98.98,sweet分數為51.81,hard分數為92.47,cold分數為10.79."
"郭維裕老師的國際財務管理課程difficult分數為98.69,busy分數為99.56,low分數為46.52,high分數為89.42,easy分數為33.96,interesting分數為98.28,clear分數為97.97,implicit分數為95.52,heavy分數為98.11,boring分數為11.32,thoughtful分數為96.58,sweet分數為97.26,hard分數為97.73,cold分數為45.32."
"楊培侃老師的商法專題課程difficult分數為88.58,busy分數為86.31,low分數為61.58,high分數為59.49,easy分數為50.53,interesting分數為76.47,clear分數為91.57,implicit分數為91.68,heavy分數為86.53,boring分數為77.97,thoughtful分數為90.97,sweet分數為73.8,hard分數為84.17,cold分數為73.43."
"楊光華老師的國際經貿法課程difficult分數為90.74,busy分數為92.33,low分數為14.49,high分數為91.75,easy分數為6.06,interesting分數為95.5,clear分數為98.35,implicit分數為69.44,heavy分數為98.44,boring分數為0.14,thoughtful分數為96.31,sweet分數為70.42,hard分數為94.53,cold分數為19.75."
"施文真、楊培侃、蔡孟佳老師的國際經貿法課程difficult分數為79.76,busy分數為0.11,low分數為95.99,high分數為0.44,easy分數為4.09,interesting分數為5.15,clear分數為1.71,implicit分數為93.48,heavy分數為2.38,boring分數為67.43,thoughtful分數為4.7,sweet分數為1.72,hard分數為79.3,cold分數為91.48."
"楊光華老師的國際金融法專題（一）課程difficult分數為80.04,busy分數為98.04,low分數為36.56,high分數為88.28,easy分數為4.69,interesting分數為97.07,clear分數為99.19,implicit分數為79.31,heavy分數為97.06,boring分數為0.73,thoughtful分數為95.56,sweet分數為91.42,hard分數為86.49,cold分數為25.63."
"楊光華老師的WTO專題研究：服務貿易法課程difficult分數為82.58,busy分數為50.93,low分數為5.95,high分數為85.71,easy分數為2.33,interesting分數為98.12,clear分數為88.96,implicit分數為32.81,heavy分數為47.74,boring分數為0.05,thoughtful分數為98.95,sweet分數為92.84,hard分數為79.01,cold分數為26.62."
"謝淑貞、蘇威傑老師的亞洲經濟問題研究（甲）課程difficult分數為86.95,busy分數為34.71,low分數為32.94,high分數為75.57,easy分數為3.28,interesting分數為95.95,clear分數為97.2,implicit分數為89.95,heavy分數為39.19,boring分數為0.26,thoughtful分數為95.16,sweet分數為86.17,hard分數為82.05,cold分數為3.54."
"譚丹琪老師的國際企業經營策略課程difficult分數為85.55,busy分數為96.45,low分數為14.32,high分數為91.32,easy分數為2.29,interesting分數為96.14,clear分數為81.34,implicit分數為66.4,heavy分數為80.38,boring分數為0.18,thoughtful分數為72.12,sweet分數為77.98,hard分數為82.21,cold分數為3.75."
"溫偉任、蘇威傑老師的亞洲經濟問題研究（甲）課程difficult分數為51.18,busy分數為13.29,low分數為1.24,high分數為70.49,easy分數為0.08,interesting分數為98.25,clear分數為73.88,implicit分數為3.03,heavy分數為23.23,boring分數為0.01,thoughtful分數為99.37,sweet分數為95.41,hard分數為59.45,cold分數為1.38."
"徐則謙、溫偉任、蘇威傑老師的亞洲經濟問題研究（甲）課程difficult分數為98.05,busy分數為95.45,low分數為6.84,high分數為42.84,easy分數為0.04,interesting分數為99.37,clear分數為55.16,implicit分數為20.8,heavy分數為41.88,boring分數為0.01,thoughtful分數為99.09,sweet分數為97.08,hard分數為98.46,cold分數為11.09."
"楊培侃老師的國際經貿法課程difficult分數為94.56,busy分數為94.93,low分數為84.57,high分數為78.86,easy分數為32.9,interesting分數為86.32,clear分數為68.68,implicit分數為95.57,heavy分數為94.48,boring分數為65.91,thoughtful分數為92.59,sweet分數為52.58,hard分數為91.71,cold分數為84.19."
"薛景文老師的國際貿易經營管理課程difficult分數為80.27,busy分數為83.64,low分數為36.72,high分數為60.31,easy分數為33.27,interesting分數為85.56,clear分數為81.61,implicit分數為90.8,heavy分數為80.79,boring分數為22.99,thoughtful分數為91.86,sweet分數為59.5,hard分數為81.14,cold分數為55.45."
"蘇威傑老師的亞洲經濟問題研究（乙）課程difficult分數為94.46,busy分數為73.89,low分數為11.0,high分數為73.52,easy分數為1.95,interesting分數為94.69,clear分數為51.72,implicit分數為61.0,heavy分數為35.53,boring分數為0.2,thoughtful分數為93.79,sweet分數為64.58,hard分數為88.82,cold分數為29.64."
"蘇威傑老師的國際企業專題課程difficult分數為98.38,busy分數為97.02,low分數為10.44,high分數為83.15,easy分數為0.5,interesting分數為98.48,clear分數為94.54,implicit分數為68.85,heavy分數為58.31,boring分數為0.03,thoughtful分數為89.72,sweet分數為58.42,hard分數為98.93,cold分數為0.47."
"荒井夏來老師的國際金融專題課程difficult分數為85.97,busy分數為22.7,low分數為15.55,high分數為89.03,easy分數為4.15,interesting分數為98.46,clear分數為97.03,implicit分數為44.73,heavy分數為99.89,boring分數為0.16,thoughtful分數為99.1,sweet分數為94.98,hard分數為94.32,cold分數為4.64."
"薛景文老師的國際買賣法課程difficult分數為72.45,busy分數為77.88,low分數為48.24,high分數為67.86,easy分數為46.05,interesting分數為89.22,clear分數為87.84,implicit分數為71.48,heavy分數為69.76,boring分數為42.11,thoughtful分數為91.4,sweet分數為74.07,hard分數為76.78,cold分數為64.42."
"楊培侃、溫偉任老師的亞洲經濟問題研究（甲）課程difficult分數為98.25,busy分數為99.78,low分數為8.11,high分數為29.4,easy分數為0.02,interesting分數為95.13,clear分數為77.52,implicit分數為19.45,heavy分數為95.09,boring分數為0.06,thoughtful分數為90.23,sweet分數為5.13,hard分數為98.07,cold分數為11.25."
"郭維裕老師的新興市場開發與分析課程difficult分數為81.56,busy分數為85.93,low分數為54.49,high分數為23.89,easy分數為3.98,interesting分數為70.11,clear分數為52.58,implicit分數為61.36,heavy分數為75.03,boring分數為14.06,thoughtful分數為54.69,sweet分數為46.8,hard分數為72.64,cold分數為30.78."
"古如君老師的菁英商務英語：簡報與演說技巧課程difficult分數為82.16,busy分數為58.72,low分數為25.99,high分數為6.14,easy分數為0.6,interesting分數為94.11,clear分數為76.33,implicit分數為19.42,heavy分數為20.27,boring分數為0.03,thoughtful分數為82.48,sweet分數為54.95,hard分數為79.98,cold分數為13.06."
"蔡致遠老師的國際經濟專題研究（一）課程difficult分數為98.11,busy分數為52.38,low分數為3.14,high分數為94.28,easy分數為0.57,interesting分數為97.43,clear分數為98.55,implicit分數為31.39,heavy分數為47.65,boring分數為0.03,thoughtful分數為98.07,sweet分數為98.32,hard分數為96.33,cold分數為0.45."
"林信助老師的商情預測課程difficult分數為83.32,busy分數為44.7,low分數為5.69,high分數為70.57,easy分數為3.56,interesting分數為88.08,clear分數為94.65,implicit分數為15.04,heavy分數為46.42,boring分數為0.03,thoughtful分數為90.19,sweet分數為7.92,hard分數為82.92,cold分數為2.37."
"古如君老師的商務英文寫作課程difficult分數為53.58,busy分數為94.82,low分數為5.32,high分數為14.92,easy分數為0.11,interesting分數為91.23,clear分數為52.48,implicit分數為8.32,heavy分數為23.12,boring分數為0.01,thoughtful分數為51.02,sweet分數為9.46,hard分數為40.29,cold分數為11.01."
"薛景文、謝淑貞、蘇威傑老師的亞洲經濟問題研究（甲）課程difficult分數為86.45,busy分數為48.17,low分數為8.88,high分數為73.18,easy分數為4.72,interesting分數為97.55,clear分數為90.47,implicit分數為39.59,heavy分數為56.28,boring分數為0.09,thoughtful分數為99.82,sweet分數為99.52,hard分數為81.61,cold分數為7.33."
"鄭濬浩老師的數位行銷課程difficult分數為76.86,busy分數為58.04,low分數為12.48,high分數為67.76,easy分數為1.1,interesting分數為96.12,clear分數為47.15,implicit分數為36.55,heavy分數為17.52,boring分數為0.02,thoughtful分數為97.44,sweet分數為91.43,hard分數為57.43,cold分數為31.46."
"徐政義老師的國際財務管理課程difficult分數為97.14,busy分數為98.26,low分數為46.56,high分數為75.05,easy分數為1.35,interesting分數為97.25,clear分數為89.76,implicit分數為57.25,heavy分數為81.44,boring分數為5.24,thoughtful分數為95.44,sweet分數為77.41,hard分數為97.04,cold分數為37.37."
"徐政義老師的財務報表分析課程difficult分數為99.7,busy分數為82.97,low分數為77.85,high分數為75.04,easy分數為0.23,interesting分數為93.45,clear分數為13.96,implicit分數為63.86,heavy分數為73.45,boring分數為2.38,thoughtful分數為87.38,sweet分數為78.27,hard分數為99.65,cold分數為46.66."
"張興華老師的貨幣理論與政策課程difficult分數為92.26,busy分數為90.08,low分數為79.79,high分數為74.83,easy分數為79.01,interesting分數為87.13,clear分數為86.61,implicit分數為93.58,heavy分數為85.35,boring分數為68.57,thoughtful分數為86.3,sweet分數為63.53,hard分數為89.91,cold分數為82.04."
"林建秀老師的財務決策理論課程difficult分數為82.37,busy分數為65.05,low分數為7.03,high分數為11.13,easy分數為0.14,interesting分數為76.55,clear分數為0.9,implicit分數為19.85,heavy分數為24.13,boring分數為0.25,thoughtful分數為23.97,sweet分數為0.62,hard分數為75.71,cold分數為8.08."
"張興華老師的財務賽局課程difficult分數為82.6,busy分數為91.22,low分數為59.57,high分數為88.51,easy分數為75.46,interesting分數為96.24,clear分數為93.72,implicit分數為84.89,heavy分數為87.65,boring分數為26.71,thoughtful分數為96.46,sweet分數為91.83,hard分數為78.03,cold分數為58.1."
"張興華老師的投資銀行策略與實務課程difficult分數為87.43,busy分數為92.29,low分數為33.47,high分數為27.09,easy分數為1.5,interesting分數為85.56,clear分數為6.76,implicit分數為15.55,heavy分數為44.13,boring分數為1.07,thoughtful分數為56.81,sweet分數為77.52,hard分數為85.96,cold分數為4.83."
"林靖庭老師的資產管理策略與應用課程difficult分數為93.31,busy分數為96.75,low分數為22.23,high分數為90.9,easy分數為1.54,interesting分數為99.5,clear分數為71.83,implicit分數為68.46,heavy分數為94.8,boring分數為0.32,thoughtful分數為98.45,sweet分數為98.46,hard分數為93.75,cold分數為2.43."
"林靖庭老師的銀行業務數位發展課程difficult分數為94.18,busy分數為99.25,low分數為15.64,high分數為75.8,easy分數為0.36,interesting分數為99.43,clear分數為96.76,implicit分數為47.33,heavy分數為72.54,boring分數為0.1,thoughtful分數為98.14,sweet分數為91.9,hard分數為98.56,cold分數為28.72."
"陳錦烽老師的會計資訊系統課程difficult分數為83.32,busy分數為77.72,low分數為44.77,high分數為66.65,easy分數為1.73,interesting分數為95.98,clear分數為80.5,implicit分數為66.38,heavy分數為18.64,boring分數為2.9,thoughtful分數為84.7,sweet分數為84.35,hard分數為69.09,cold分數為21.81."
"俞洪昭老師的審計實務實習課程difficult分數為97.23,busy分數為99.17,low分數為57.11,high分數為94.09,easy分數為9.94,interesting分數為99.38,clear分數為98.16,implicit分數為86.41,heavy分數為98.0,boring分數為1.02,thoughtful分數為98.94,sweet分數為96.63,hard分數為96.79,cold分數為59.57."
"俞洪昭老師的審計學（一）實習課程difficult分數為96.65,busy分數為97.55,low分數為91.29,high分數為98.47,easy分數為65.54,interesting分數為99.49,clear分數為99.46,implicit分數為99.0,heavy分數為99.01,boring分數為74.06,thoughtful分數為99.53,sweet分數為98.64,hard分數為99.29,cold分數為98.31."
"詹凌菁老師的財務報表分析課程difficult分數為53.73,busy分數為72.62,low分數為21.2,high分數為60.71,easy分數為49.35,interesting分數為67.2,clear分數為64.64,implicit分數為76.03,heavy分數為56.41,boring分數為17.02,thoughtful分數為82.46,sweet分數為56.61,hard分數為57.78,cold分數為37.39."
"陳錦烽老師的會計資訊系統（二）課程difficult分數為98.43,busy分數為87.83,low分數為1.05,high分數為78.25,easy分數為0.04,interesting分數為97.52,clear分數為65.89,implicit分數為23.85,heavy分數為84.13,boring分數為0.01,thoughtful分數為91.68,sweet分數為69.18,hard分數為97.73,cold分數為0.06."
"俞洪昭老師的審計學（一）課程difficult分數為91.31,busy分數為86.36,low分數為79.25,high分數為63.34,easy分數為25.54,interesting分數為93.33,clear分數為91.69,implicit分數為83.46,heavy分數為86.98,boring分數為27.58,thoughtful分數為94.69,sweet分數為72.11,hard分數為93.41,cold分數為71.21."
"俞洪昭老師的審計學（二）課程difficult分數為83.01,busy分數為90.56,low分數為58.05,high分數為93.83,easy分數為23.96,interesting分數為96.21,clear分數為98.18,implicit分數為92.65,heavy分數為95.58,boring分數為29.36,thoughtful分數為97.78,sweet分數為92.67,hard分數為97.22,cold分數為80.37."
